ID	x	y	z	cluster
human3_lib1.final_cell_0294	8.839749	-11.677604	0.628783	1.000000
human3_lib1.final_cell_0295	-3.909947	0.439438	1.438513	1.000000
human3_lib1.final_cell_0296	5.706662	-0.216777	11.696807	1.000000
human3_lib1.final_cell_0297	0.804769	-0.874716	7.665446	1.000000
human3_lib1.final_cell_0298	10.333970	7.171611	-7.423772	1.000000
human3_lib1.final_cell_0299	11.011117	9.121410	-6.161845	1.000000
human3_lib1.final_cell_0300	-35.025455	4.613412	16.271850	3.000000
human3_lib1.final_cell_0301	9.365262	7.087686	-4.453840	1.000000
human3_lib1.final_cell_0302	-12.562744	-8.693034	3.613756	3.000000
human3_lib1.final_cell_0303	13.810984	10.120863	-10.144727	1.000000
human3_lib1.final_cell_0304	16.198284	-3.170091	4.671143	1.000000
human3_lib1.final_cell_0305	11.155144	-9.004693	0.916601	3.000000
human3_lib1.final_cell_0306	-8.906369	7.301707	-2.746498	3.000000
human3_lib1.final_cell_0307	-16.516739	-8.082920	2.002653	3.000000
human3_lib1.final_cell_0308	-7.681654	-3.036443	0.570260	3.000000
human3_lib1.final_cell_0309	-8.799739	-0.504468	-2.520298	3.000000
human3_lib1.final_cell_0310	10.480967	6.780207	-3.934104	1.000000
human3_lib1.final_cell_0311	1.871222	4.379764	12.421096	1.000000
human3_lib1.final_cell_0312	9.176524	-9.614895	0.259136	1.000000
human3_lib1.final_cell_0313	5.141675	-8.066181	-1.613173	1.000000
human3_lib1.final_cell_0314	13.079676	9.077599	-4.993449	1.000000
human3_lib1.final_cell_0315	1.857528	8.325875	-11.564000	1.000000
human3_lib1.final_cell_0316	3.329722	-9.743757	6.726548	1.000000
human3_lib1.final_cell_0317	9.928318	-5.278216	1.675605	1.000000
human3_lib1.final_cell_0318	4.667570	20.565039	-6.846031	1.000000
human3_lib1.final_cell_0319	0.702674	12.637093	2.981627	1.000000
human3_lib1.final_cell_0320	10.805162	8.254703	-6.283489	2.000000
human3_lib1.final_cell_0321	10.480197	0.774856	12.213119	1.000000
human3_lib1.final_cell_0322	9.329974	-4.421331	3.459762	1.000000
human3_lib1.final_cell_0323	11.906123	7.538864	-6.616380	1.000000
human3_lib1.final_cell_0324	1.396027	16.788416	7.235665	1.000000
human3_lib1.final_cell_0325	11.660411	11.826359	-7.123997	1.000000
human3_lib1.final_cell_0326	-12.573131	-8.645627	-4.082775	3.000000
human3_lib1.final_cell_0327	10.188710	-6.627474	0.878947	1.000000
human3_lib1.final_cell_0328	13.892233	18.393778	8.711708	1.000000
human3_lib1.final_cell_0329	11.786364	-10.643520	1.252186	1.000000
human3_lib1.final_cell_0330	16.531833	9.860467	-15.865434	3.000000
human3_lib1.final_cell_0331	-20.642993	11.155579	-11.558042	3.000000
human3_lib1.final_cell_0332	13.904670	7.167897	-8.623649	1.000000
human3_lib1.final_cell_0333	16.194780	-9.861689	2.850467	1.000000
human3_lib1.final_cell_0334	19.789144	10.273653	-1.896925	1.000000
human3_lib1.final_cell_0335	8.966449	8.292737	12.888055	1.000000
human3_lib1.final_cell_0336	2.928019	9.471273	-7.905841	1.000000
human3_lib1.final_cell_0337	5.541420	14.074308	-7.224420	1.000000
human3_lib1.final_cell_0338	-8.096932	3.259727	2.771848	3.000000
human3_lib1.final_cell_0339	9.074457	7.300027	-7.264084	1.000000
human3_lib1.final_cell_0340	12.558314	21.397261	-5.376311	1.000000
human3_lib1.final_cell_0341	-11.865267	-0.768204	7.667076	3.000000
human3_lib1.final_cell_0342	-7.325987	1.872280	-1.709928	3.000000
human3_lib1.final_cell_0343	7.881157	-8.162520	-7.322459	1.000000
human3_lib1.final_cell_0344	7.390779	-8.522610	-1.501937	1.000000
human3_lib1.final_cell_0345	-1.354546	1.370442	3.465342	1.000000
human3_lib1.final_cell_0346	-9.065226	-2.148678	1.716146	6.000000
human3_lib1.final_cell_0347	14.522133	-10.934519	6.346723	1.000000
